,video_name,rating-indoor,rating-expanse,rating-object,rating-agent_distance,rating-facingness,rating-joint_action,rating-communication,rating-valence,rating-arousal,stimulus_set,captions
0,-YwZOeyAQC8_15.mp4,1,0.225,0.8958333333333334,0.0,0.0454545454545454,0.7,0.55,0.65,0.3409090909090909,train,"['A man sits playing video games on his TV while holding a baby, with two small dogs resting on a nearby sofa', 'A man with a baby on his lap playing Wii', 'A man in shorts sits in a chair next to a standard lamp, with a smiling baby on his lap, operating a Wii remote controller, while two small dogs are sat on a nearby sofa', 'A man playing on the wii which is making the baby chuckle while the dog ignores them from the other sofa', 'father & child enjoying a show']"
1,1AIVH5cEWrI_35.mp4,1,0.25,0.1041666666666666,0.075,1.0,0.825,0.9,0.675,0.3409090909090909,train,"[""Two friends singing and swaying together while looking into each other's eyes."", 'Two women sing together.', 'Two girls are dancing close together and facing each other.', 'Two females learning how to sing together in harmony.', 'Two young women are facing one another and swaying side-to-side while singing. ']"
2,2-8-0-2-5-4-8-8-5028025488_7.mp4,1,0.275,1.0,0.0454545454545454,0.05,0.575,0.5,0.675,0.075,train,"['A young girl sits looks at a book, turning the pages, while a younger child looks over her shoulder', 'A little girl around 6 years old is paging through a picture with her toddler sister', 'two sisters reading a book', 'Two children reading a book together.', 'two young children reading a book together', 'two siblings reading the book', ""Two toddlers flipping through a children's book\n"", 'Two children are reading a picture book; the older one turns a page and looks at it intently while sitting, and the younger one stands and points at it.', 'A young girl is reading a book and her little sister points to something on the page', 'A girl in a pink dress is looking through a book and her sibling is standing next to her, watching as she does this ', 'Girl and boy watching book']"
4,7-5-1-0-3-6-9-8-3775103698_9.mp4,1,0.275,0.925,0.275,0.6363636363636364,0.75,0.825,0.7222222222222222,0.125,train,"['Q woman explaining a picture to a man.', 'two people discuss plans for a playground', 'One person is looking at and motioning towards a picture of a stadium and the other person is looking and listening.', 'Two people are looking at a basketball court map.', 'A woman is talking to another woman about a poster showing a playing field and gesturing her hands at the same time.']"
5,8-6-0-3-9-6-6-0-19586039660_4.mp4,1,0.325,0.95,0.2272727272727273,0.15,0.425,0.7272727272727273,0.65,0.35,train,"['two babies play with toy', 'Two kids playing with a toy dog.', 'two children interacting with what appears to be a toy dog.', 'Two small children are playing with a toy in their living room.', 'A girl and boy are playing with a toy cat, the girl picks something up and then sits down, the boy then reaches for his turn.', 'Kids playing with a teddy of cat or dog ']"
7,9jw7D-exQDg_77.mp4,1,0.125,1.0,0.3,0.575,0.75,0.9,0.75,0.3863636363636364,train,"['two children sit next to eachother with microphones in their hands and the girl in the red shirt watches the girl in the pattern shirt while she talks', 'A lady and a young girl sing into a microphone.', 'A little girl sings with a older female', 'Two girls, one significantly younger, sing into microphones at home.', '2 sisters are singing together']"
8,FJzKgF-nR0E_15.mp4,1,0.15,0.8,0.2954545454545455,0.95,0.5,0.6818181818181819,0.775,0.225,train,"['A woman playfully laughs at a child who looks back at her.', 'child playing with a baby', 'A baby is playing with there toys well an older girl is laughing with them.', 'The baby in the bouncy chair and the adult are enjoying a good time together.', 'A woman tries to entertain a baby.']"
9,FSQ2vBJ0hmw_20.mp4,1,0.2,0.225,0.1,0.0,0.1363636363636363,0.35,0.7777777777777778,0.225,train,"['Two babies are lying in the cot kicking their legs, one on his back the other is on his front', 'The babies are laying in the bed', 'Two very young babies are laying down on their backs and mildly squirming their legs. ', 'Two young babies are wriggling side by side in a cot.', 'Two young babies in baby gros together laid down.']"
10,IkTAuzVeD2Q_46.mp4,1,0.075,0.9,0.25,0.95,0.75,0.65,0.425,0.2,train,"['A child feeding another.', 'Two children are in a kitchen, the elder child is feeding the younger one.', 'A young girl who appears to perhaps be an elder sister is holding out a spoon of food and feeding it to a younger boy in a high chair wearing a bib. The young boy is taking the food and has food around his mouth and front.', 'Toddler feeding her baby brother or sister', 'one child feeding another in a highchair ']"
11,WJ-84ioZqcc_41.mp4,1,0.275,0.875,0.1,0.1,0.425,0.6,0.725,0.35,train,"['Two children play with toy balls on a bed.', 'two children playing', 'Two young children are playing on the bed', 'Two little brothers are laughing and playing together on a bed with their toys in their little hands.', 'Two children laugh and play with a basketball and a football. ']"
12,b7y36KyAIoI_120.mp4,1,0.175,0.825,0.2,0.475,0.525,0.975,0.675,0.225,train,"['A man is describing and discussing food with a woman beside him in a kitchen.', 'A man and a woman are standing in a kitchen, observing a plate of food. The man reaches for the food while the woman smiles.', 'Man speaking to female cook whilst trying food', 'A woman has baked some treats and a man looks like he is complimenting her work whilst tasting.', 'A woman laughs in a kitchen.']"
13,bing-heavy_com_entertainment_2017_10_this-is-us-spoilers-chrissy-metz-kate-singing-songs__249.mp4,1,0.35,0.775,0.35,0.8409090909090909,0.375,0.875,0.35,0.325,train,"['A lady is sitting down and speaking into a microphone', 'A woman is singing to a man on stage.', 'Woman singing towards a man. ', 'A woman is talking or singing into a mic while looking at a man that is partially off camera.', 'a sister on the stage singing a song to her brother']"
14,eJRbWjg73fE_116.mp4,1,0.125,1.0,0.35,0.05,0.5227272727272727,0.75,0.775,0.05,train,"['Father showing teenager how to cook', 'a man with his son in the kitchen', 'A dad teaching a boy how to cook a dessert.', 'Baking a cake.', 'An adult and child cooking']"
15,flickr-0-1-6-8-3-2-4-3-4401683243_31.mp4,0,0.775,0.775,0.85,0.0,0.0681818181818181,0.175,0.4722222222222222,0.2,train,"['Two people sea fishing on the edge of a metal fence.', 'Two people are separately fishing at a beach, they are not together.', 'Man playing with his fishing pole while a woman stands next to her fishing pole.', 'Two men fishing by a very windy coastline.', 'Two people quietly fishing by the ocean, waiting for the fish to bite.']"
16,flickr-0-5-6-9-8-9-0-8-4405698908_26.mp4,1,0.45,1.0,0.6590909090909091,0.1,0.8055555555555556,0.7291666666666667,0.575,0.5454545454545454,train,"['Two women are on a stage singing. ', 'Two people are performing on stage, one sitting playing guitar and the other standing singing. They are aware of each other but not interacting.', 'A girl is sitting on the floor playing the guitar, while another girl is singing.', 'on a stafe with a black curtain behind them, a girl in an open checked top holds a microphone while a figure sits cross legged on the floor playing guitar', '2 teenage girls performing musical act']"
18,flickr-0-9-3-5-5-6-6-9-5809355669_3.mp4,1,0.075,0.875,0.0681818181818181,0.975,0.3888888888888889,0.7083333333333333,0.725,0.3863636363636364,train,"['A man is drinking a drink whilst the baby is laughing at him.', 'man playing with a baby', 'A man is drinking something from a straw well a baby is laughing at him', ""The adult is holding the baby's bottle and pretending to suck on it while the baby is laughing about it."", 'A baby laughs at a man drinking through a straw.']"
19,flickr-0-9-4-9-7-9-0-1-3009497901_3.mp4,1,0.125,0.925,0.2,0.9545454545454546,0.525,0.95,0.85,0.2,train,"['Baby watching a child read them a picture story. ', 'The child is showing the baby the book.', 'A young child reads a book to a baby.', 'One child showing his baby sibling a book', 'a brother reading his baby brother a book ']"
20,flickr-1-0-3-5-1-1-0-6-2810351106_1.mp4,1,0.05,1.0,0.175,0.7,0.6136363636363636,0.65,0.875,0.5833333333333334,train,"['two toddlers with one with a feather brush tickling the other toddler with it.', 'a baby is tickling another baby with a large brush', 'A child is waving a yellow fluffy duster to amuse a baby in a highchair.', 'todler touches baby head with duster', 'Playing ', 'One toddler tickles another with a feather duster']"
22,flickr-1-6-4-12557575164_3.mp4,0,0.275,0.825,0.125,0.3,0.6,0.825,0.85,0.3,train,"['An asian man and daughter on a rail track.', 'A parent and their child are riding a cart on a track together, smiling and posing for the camera.', 'Man and girl travelling on railcart.', 'A man and a small girl on a cart that is being pulled on a small track line.', 'The girl smiles at the van as they are moved along the track.']"
23,flickr-1-8-1-1-6-5-4-7-6118116547_81.mp4,1,0.15,1.0,0.025,0.025,0.7777777777777778,0.775,0.925,0.0833333333333333,train,"['A man is reading to a baby. ', 'A father is sitting with his child in front, on his lap, as they read a story book together', 'A father is reading to his baby, who is pointing out things in the book, while he is on his knee. ', 'a man sits on a sofa reading a book with an infant child sat on his lap pointing at the pages', 'father reading to a young baby']"
24,flickr-1-9-7-9-4-8-8-5-5319794885_45.mp4,1,0.6,0.975,0.525,0.4772727272727273,0.45,0.3863636363636363,0.475,0.225,train,"['A cook preparing a meal.', 'two men working while sparks fly in the background', 'One man picks up a pot and carries it across the kitchen as another man walks past him looking at him.', 'Two guys work in a kitchen with a big flame in the background.', 'Two people in a kitchen and one of them is carrying a silver pot.']"
27,flickr-2-2-8-4-6-0-2-0-8222846020_11.mp4,1,0.45,0.05,0.45,1.0,0.25,1.0,0.475,0.075,train,"['A man is explaining something to another man right in front of him.', 'Two young men talk to each other in front of a door, while standing a few feet apart.', 'Man speaking to woman in front of door.', 'Two people stand facing each other while one talks to the other', 'One man speaks to another man.']"
29,flickr-2-8-2-7-7-6-8-9-3028277689_11.mp4,1,0.125,0.2,0.0,0.8,0.6,0.8,0.85,0.325,train,"['A boy plays with a babies arms whilst the baby is resting.', 'child playing with a baby', 'One older child is holding the younger child by there hands and putting them together', ""An older brother is trying to play pattie cake with his little baby sister who's seated in her safety seat."", 'Siblings interact playfully with each other.']"
30,flickr-3-2-7-8-3-1-4-7-16232783147_5.mp4,1,0.025,0.025,0.05,1.0,0.8409090909090909,0.925,0.925,0.375,train,"['A woman is playing with a baby who is laughing.', 'A mother playing with her baby, making him laugh.', 'There is a woman playing with a baby - she smiles then makes a repetitive sound and moves her head forward three times while the baby laughs at her.', 'cute child laughing at mommy', 'A mother makes silly noises/faces to amuse her child.', 'A mother playing with her baby', 'A lady seems to be pulling faces at a baby in front of her who responds with smiles and laughter.']"
31,flickr-3-3-2-8-3-2-3-7-2833283237_47.mp4,1,0.125,0.775,0.15,0.1,0.5,0.475,0.35,0.55,train,"[""a boy is trying to brush a dog's teeth while a woman films it"", 'A boy washes a dogs teeth while a woman looks on', 'A young women seems to be enjoying that the boy is trying to brush the teeth of the dog.', 'A boy attempts to clean the dogs teeth whilst his mother leans forwards giving encouragement', 'Playing around like idiots trying to brush the dogs teeth']"
32,flickr-3-5-1-9-5-7-1-6-5535195716_54.mp4,1,0.05,1.0,0.125,0.8,0.35,0.65,0.725,0.375,train,"['2 children in the bath', 'Two young children in a bubble bath together playing with toys and the younger child is chewing on a toy.', 'Two babies in a bathing tub playing with the dolls.', 'The two boys are playing with the toys in the bathtub. ', 'Two small children are sitting in a bubble bath facing each other and they are playing with plastic bath toys']"
33,flickr-4-0-4-9-3-3-4-4-15540493344_49.mp4,1,0.325,1.0,0.425,0.025,0.85,0.675,0.65,0.2954545454545455,train,"['A man and a child play violins together in a living room.', 'Father and son playing their violins together.', 'The kid and the adult are playing violin ', 'An adult and a child, each with a Violin are playing in tune.', 'Playing the violin']"
34,flickr-4-1-6-2-6-0-0-0-23041626000_1.mp4,1,0.15,0.4,0.1,0.875,0.55,0.95,0.825,0.375,train,"['A old lady is making silly faces to a baby.', ""An elderly woman who is tickling a baby's stomach playfully."", 'an old lady is cheerfully tickling her grandchild while laughing and having some fun, and also doing some tidying up at the same time.', 'A woman is enjoying interaction with a baby and enjoys occasionally tickling him.', 'An older woman tickles a baby.']"
35,flickr-4-1-7-8-1-9-6-2-3941781962_7.mp4,1,0.15,0.925,0.2,0.1,0.475,0.625,0.525,0.4,train,"['therparist set up little block for her patient to practise walking', 'A lady being measured for aerobic athleticism. ', 'A woman with a knee injury trying to achieve some leg lifting.', 'A woman is learning to walk again after an injury.', 'Two women are doing a task in front of the mirror, the woman in red is adjusting some blocks and the woman in black is stepping over them.', 'one woman fitting a monitor on another woman before excercising']"
36,flickr-4-2-6-5-6-4-7-1-5442656471_12.mp4,1,0.15,0.8,0.075,0.4,0.55,0.675,0.7,0.325,train,"['A baby is playing with toy cars as the grown up watches.', ""An adult and toddler behind a child's table donned with crayons."", 'a dad is happily playing with his child, wanting to spend some quality time together.', 'The child is playing with a car with, what seems to be his father, then gets down from the table, supported by his father', 'A child is playing witha car on a table with, what appears, to be his father, and then the child gets down from the table supported by his father. ', 'A man, presumably a father, helps a child get down from a table.']"
38,flickr-4-7-7-6-8-6-8-3-10147768683_30.mp4,0,0.525,0.5,0.3,0.15,0.525,0.825,0.625,0.3,train,"['two men are walking through bushes in the mountains', 'It is a man and a woman who appear to be hiking in a forest', '2 hikers walking up a path in mountain area.', 'Two middle aged backpackers - possibly a couple clamber out of some foliage below the pine forest, up in the mountains.', 'climbing up the mountain helping each other by the climb']"
39,flickr-4-8-3-9-9-3-0-9-6748399309_20.mp4,0,0.35,0.9,0.3181818181818182,0.975,0.6111111111111112,0.8541666666666667,0.7,0.6136363636363636,train,"['A child in skiing gear being propped up by an adult and released to move down the hill slightly', 'An adult and child facing each other while skiing on snow and the child is balancing without poles. ', 'A young boy doing ice skating with a help of an adult.', 'The man is helping the child stand up on their skis and not fall. ', 'An adult in ski gear and with ski poles has a small child in front of them that they are trying to give instruction to']"
40,flickr-4-9-9-9-8-3-1-6-25549998316_29.mp4,1,0.125,0.975,0.075,0.1363636363636363,0.825,0.975,0.875,0.25,train,"['a man and a young girl playing cards.', 'a child and adult are placing cards on a table, they are smiling and talking to each other', 'A male adult and a youg girl playing a fun game of snap together.', 'A father and his daughter playing cards together, both seem happy.', 'a guy and a girl playing cards']"
41,flickr-5-0-2-0-2-2-2-2-2450202222_18.mp4,1,0.25,0.975,0.0909090909090909,0.075,0.0555555555555555,0.3541666666666666,0.75,0.3636363636363637,train,"['Two babies laying on the floor and looking up playing with toys.', 'Tho babies are playing while laying on a playmat.', 'Babies playing with toys.', 'Two babies laying on their back on a mat playing with toys.', 'Two babies lying under a mobile toy.']"
43,flickr-5-3-3-2-7-2-4-7-3053327247_9.mp4,1,0.4,1.0,0.2,0.1818181818181818,0.875,0.4499999999999999,0.75,0.6363636363636364,train,"['Two drummers beat in rhythm together', 'Two boys are practicing their drumming, one of the boys is more enthusiastic than the other.', '2 men playing the drums together', 'Two boys both playing the drums on stage, enjoying the beat.', 'two people playing drums, one is older adult and one appears to be a teen', 'students in a music class or a concert', 'Two men banging on drums', 'Two young men playing drums together.', 'Two black teens are drumming', 'Two men are playing the drums simultaneously ', 'Two black guys playing drums']"
44,flickr-5-4-8-7-2-0-2-6-2454872026_5.mp4,1,0.4,0.1,0.25,0.375,0.575,0.575,0.775,0.525,train,"['Two kids are dancing around in their lounge. ', 'Two children, an older girl and younger boy are both dancing and enjoying doing so.', 'A young girl and boy are dancing happily in their living room. ', 'A girl and a boy bounce around a room to music (presumably)', 'small girl and younger boy dancing']"
45,flickr-5-5-5-1-2-1-2-0-2755512120_95.mp4,1,0.175,0.125,0.225,0.675,0.6363636363636364,0.8181818181818182,0.325,0.575,train,"['Two small boys reach for each other as they sit next to each other apparently at a table while eating.', 'Two young brothers fooling around at the kitchen table.', ""The boy is holding the other kid's arm"", 'Two children, about one year olds, playing with each other.', 'playfighting']"
47,flickr-6-2-2-9-2-0-1-2-5362292012_12.mp4,1,0.275,1.0,0.25,0.875,0.675,0.6590909090909092,0.925,0.375,train,"['An older child blows a balloon to entertain a baby.', 'Big kid blows up balloon while small one laughs.', 'A small child is blowing up a red balloon while a baby looks on giggling at what he sees.', 'Two children blowing up a balloon on the floor.', 'A toddler boy blows air into a red balloon while a baby looks on laughing. ']"
49,flickr-7-4-1-1-3-9-5-4-8274113954_15.mp4,1,0.175,0.125,0.075,0.25,0.9545454545454546,0.775,0.75,0.175,train,"['A man walking with an infant.', 'a father holds hands with their child as they walk', ""An adult is holding a toddler's hand and they are walking towards the camera."", ""A father holds his young kid's hand while helping him walk."", 'A man is walking a toddler across a room holding him by the hand.']"
50,flickr-7-7-0-5-0-7-0-9-4177050709_33.mp4,1,0.15,0.9772727272727272,0.125,0.1,0.5,0.825,0.45,0.225,train,"['A man and woman are in the kitchen, the man goes to help the lady with some preparation', 'The couple is cooking', 'A woman is cooking and signals to the nearby male to do an action which I think is to pick up a dish, which he quickly does. ', 'A woman is in a kitchen and about to carve a chicken and the man watching her, puts a bottle down and goes to help her.', 'Woman and man in a kitchen with food, the man puts his bottle of beer down.']"
51,flickr-7-7-6-9-8-7-4-3-6077698743_33.mp4,0,0.275,1.0,0.0,0.0,0.825,0.65,0.775,0.2,train,"['A woman and a boy are sitting in the water playing. ', 'A mother and child are both sat on the floor of a waterpark or water feature, both are actively engaging with one another.', 'A woman is sitting with her toddler at the swimming pool, while he plays with bucket. ', 'A woman and a young child wearing bathing costumes and swimming caps sit on the edge of an outdoor pool filled with fountains', 'mother playing with child in water']"
52,flickr-7-8-3-9-5-6-9-1-3078395691_54.mp4,1,0.325,0.05,0.225,0.4318181818181818,0.35,0.5681818181818181,0.9,0.225,train,"['two babies sitting on a carpet.', 'two babies sat and laughing at a toy being waved off camera to their right', 'Two young babies giggling and finding the world funny at Christmas time.', 'Two babies sat next to each other, both laughing', ""two babies sitting down, one looks like it's laughing""]"
54,flickr-7-8-5-0-9-0-9-0-4078509090_12.mp4,1,0.025,0.5208333333333334,0.0,0.125,0.85,0.625,0.575,0.25,train,"['this looks like a mother feeding her baby some food during their meal.', 'a mum is trying to get her baby to eat something off her finger', 'A wriggly, young child is being comforted by an adult.', 'woman feeding baby', 'Feeding a baby', 'I mum feeds her toddler some food directly from her finger']"
57,flickr-8-4-2-6-5-3-9-1-9784265391_7.mp4,1,0.025,0.675,0.025,0.05,0.5,0.6,0.575,0.325,train,"['A woman playing with a infant.', 'a mother holds their baby as they cry', 'A woman is holding a baby on her lap and the baby is sucking on her hand.', 'A mother wipes off her young son.', 'A woman holding a baby who then vomits so she catches the vomit with the blanket in her right hand.']"
58,flickr-8-7-2-6-6-0-0-8-3387266008_18.mp4,1,0.35,0.875,0.325,0.025,0.125,0.0749999999999999,0.45,0.2272727272727273,train,"['An older sibling in the bathtub with a younger sibling outside the tub', 'A little girl is taking her bath while her baby brother plays with the shelf.', 'little girl in the bath while her even younger brother is looking through toiletries ', 'Two children in the bathroom, the older one in the bath and the baby playing with something on the shelves.', 'two children in the bathroom, one older in the bathtub and a younger child outside of the bathtub', 'two kids playing in the bathroom while one is in the tub ', 'A toddler bathes while a baby plays with bathroom supplies', 'Two babies or toddlers are in a bathroom; one bathes while the other examines something in an adjacent shelf.', 'Young girl in a bath in the background, and a baby with a dummy looking at items on a shelf', 'A child is in the bath and their baby sibling is rifling through the cabinets adjacent.', 'Two kids in the bathroom']"
59,flickr-8-9-7-9-5-0-4-1-6189795041_19.mp4,0,0.575,0.975,0.775,0.05,0.075,0.275,0.25,0.475,train,"['An individual fixing up shopping carts.', 'Two people are outdoors in a field, one is standing on a quadbike while the other appears to hit a trolley with a large hammer.', 'A man is standing above some beat up looking supermarket trolleys. He has some type of hammer or device and seems to be making smashing motions on the trolleys. Another man in a type of vehicle is standing on it and watching from behind. ', 'Man that is about to destroy/dismantle a shopping cart with a steel hammer', 'one man hitting some metal with a hammer, man in the back looking on']"
62,flickr-9-6-7-8-7-6-4-6-2496787646_9.mp4,1,0.05,0.925,0.0,0.0227272727272727,0.4772727272727273,0.35,0.7,0.25,train,"['An adult is holding a baby who is waving around two plastic cups', 'A woman holding a baby who is playing with a cup', ""A baby, sitting on its mother's knee, banging a plastic cup and lid together, while the mother looks ahead."", 'A baby banging cups together, being held by an adult who is facing the baby away from them', 'woman with an inquisitive baby']"
63,flickr-9-7-4-6-7-4-5-2-2597467452_51.mp4,0,0.1,0.925,0.0,0.2,0.9166666666666666,0.7708333333333334,0.575,0.3409090909090909,train,"['Mom cautiously feeds her baby some water', 'A mum holding a bottle of water and the baby drinking out of the water bottle.', 'A mother feeding her child some water.', 'A mother is giving her baby some water from a bottle.', 'A woman is helping a baby take a drink from a water bottle.', 'mother feeding water to baby from water bottle']"
64,flickr_R-1-2-8-9-1-4-3-5-4212891435_36.mp4,1,0.15,0.975,0.275,0.0,0.2272727272727273,0.05,0.6,0.075,train,"['Two children reading.', 'Two children in dressing gowns are sat on the floor, they appear to be playing with books.', 'Two young children are on the floor. One is a young boy at the front who appears to be engrossed in some type of toy or game on the ground. The other is a younger girl who is holding a book upside down and opening some pages. Neither communicate with each other.', 'Brother and Sister busy looking at books', '2 kids playing whilst one is looking at a book on the floor']"
65,giphy-10TNZYlPEDFR3a_3.mp4,1,0.3,0.275,0.375,0.75,0.7272727272727273,0.7,0.8611111111111112,0.5,train,"['there are two toddlers laughing one one is moving their hands in a expressive manner.', 'a child is flapping his arms while another child is laughing', 'A young child appears to be laughing as he is playing with another young child.', 'too toddlers having fun', 'Children laughing and playing ', 'Two children laugh with one waving their arms']"
66,giphy-5gH28DhukBKlq_2.mp4,1,0.375,0.925,0.45,0.0454545454545454,0.0555555555555555,0.1999999999999999,0.575,0.2777777777777778,train,"['A woman bowls while keeping one arm strangely straight.', 'Lady throws a bowling ball while man watches.', 'A woman is throwing a bowling ball while a man stands by watching her.', 'Two people in a bowling alley, one of which is learning how to bowl.', 'A woman throws a balling ball down the lane whilst a man stands nearby watching. ']"
67,gvztLkrmEIg_137.mp4,1,0.5,1.0,0.275,0.0,0.55,0.3249999999999999,0.7,0.4545454545454545,train,"['Two children using plastic chairs to help them ice skate and one falls over forwards', 'Two small children both pushing their own ice-skating trainer on ice.', 'Children pushing plastic chairs across some ice or snow.', 'Two kids are ice skating and both are using a beginner handheld assist tool in front of them.', 'two small children skating on the ice using aids']"
68,t2z1X76v4ys_178.mp4,0,0.275,0.975,0.85,0.175,0.0,0.15,0.625,0.375,train,"['A guy is using an electric buffer to clean the trunk of a car.', 'An older man is using a buffing tool on the trunk of a vehicle.', 'Man machine polishes boot of car whilst another watches from distance', 'A man buffs out some paintwork on a car', 'A man polishes the trunk of a car.']"
69,twUN1iwMWgY_1320.mp4,1,0.225,0.95,0.0681818181818181,0.0454545454545454,0.525,0.2272727272727273,0.675,0.125,train,"['Boy stands behind a young woman and brushes her hair.', 'Son brushes his mothers hair.', ""The kid is brushing the lady's hair."", 'A woman sits on a chair, facing the camera while someone standing behind her is making her hair.', 'Brushing hair']"
70,vine-A-kid-bowing-a-wheel-JohnnyRandom-MgJUX6q5pV5_1.mp4,1,0.5,1.0,0.25,0.2,0.5,0.75,0.575,0.4,train,"['A boy fixing a bicycle wheel while a man watches and encourages', 'A kid using a stick and hitting it against a bicycle wheel.', 'An adult watching a child attempting to repair a bicycle.', 'A young boy appears to be playing a bicycle spoke like a violin.', 'A man and boy are examining a bike. ']"
71,vine-Discussing-gopher-problems-with-Frank-from-the-parks-department-hLpauJl9VBw_1.mp4,0,0.425,0.9583333333333334,0.375,0.525,0.475,0.775,0.55,0.3863636363636364,train,"['A little girl watches as a man digs in the ground.', 'A man in a high visibility vest looks like he has dug a hole and is putting something into it but it is difficult to tell due to the shadows.  A young girl is watching on.', 'A man in a high visibility vest has dug a hole and is putting something in it whilst a young girl watches.', 'A man putting his hand in a hole with a girl standing nearby', 'Man planting a tree infront of a girl.', 'A child is watching a man work with something in a hole in the ground, electrical wires or pipes perhaps.', 'A man is putting his hand in a hole in the ground as a little girl watches.']"
72,vine-MBwjdF6eU79_2.mp4,1,0.025,1.0,0.25,0.0,0.0,0.1875,0.7,0.0909090909090909,train,"['one man knitting with headphones in sat next to another man on his computer', 'One person using a computer while the other has on his earbuds using a mobile device.', 'A person knitting beside someone else using a computer.', 'Young men are at a computer station involved with tech activities.', 'A man is knitting while another person is on the computer. ']"
73,vine-MKEjBiBY6Fw_1.mp4,1,0.15,0.046875,0.05,0.025,0.9090909090909092,0.8409090909090909,0.55,0.675,train,"['Two woman playing a game on the floor.', 'Two people are lying on the floor, playing about and moving their legs around with big movements.', 'two people laying on there backs locking legs together', 'Two girl leg wrestling', 'Two young girls are lying on the floor on their backs facing the opposite direction.  They both lift their right leg and then entangle them and one begins to lift off the floor. It looks like a game.', 'Two girls are rolling around the floor, playing.']"
74,vine-MVvgr5hA3JD_1.mp4,0,0.225,0.95,0.375,0.025,0.075,0.0999999999999999,0.3,0.225,train,"['A girl drinking water and almost shocking.', 'A young woman is taking a drink from a water bottle.  She appears to choke on the water slightly and wipes some water from her chin.  There is another woman leaning against a window perhaps observing this.', 'A young woman is taking a drink from a water bottle and looks like she has choked on it, spilling a little and wiping her chin whilst another woman leaning against a window looks on.', 'A girl drinking juice and gagging', 'A girl drinks water from a bottle ', 'A women is leaning against a wall/window and another woman is standing in front of her taking a drink of juice out of a bottle. She drinks too quickly and belches.', 'A girls is drinking and choking on water and another girl is standing in the background.']"
76,vine-arm-wrestling-h6itJarOtiI_3.mp4,1,0.075,0.1,0.1,0.9,0.6818181818181818,0.675,0.525,0.55,train,"['Two people having a strength contest.', 'a young man and woman are having an arm wrestle on a kitchen counter', 'A man and a woman arm-wrestling.', 'Two people having an arm wrestle', 'arm wrestling showing the winner', 'man beating a woman at arm wrestling', 'A guy is armwrestling a girl and she appears to be pinned and struggles to retaliate.']"
77,vine-hxLaMMzZhv0_1.mp4,1,0.3,0.975,0.325,0.0,0.2,0.175,0.75,0.025,train,"['Two girls are sitting on the floor both knitting', 'They girls are knitting in silence.', 'Two girls are sitting beside each other and focusing on knitting their individual items. ', 'Two girls are sitting on a bedroom floor knitting.', 'Women knitting on the floor in a bedroom']"
78,yt---kgxi3dRc8_202.mp4,0,0.2708333333333333,0.7,0.15,0.425,0.3409090909090909,0.925,0.45,0.225,train,"['2 men admiring a fish they are holding', 'The person on the left in red is holding, talking about and showing a fish to the person on the right in blue.', 'Two men but one catching a fish.', 'The man is showing his friend the fish he caught. ', 'Two adult males in waterproof fishing gear are inspecting a fish that one of the men is holding']"
79,yt--7QDJQU657I_4.mp4,1,0.125,0.1363636363636363,0.0,0.025,0.825,0.75,0.9,0.6590909090909091,train,"['A man is pretending to play the drums with his child on his lap', 'The dad is playing with his daughter ', ""A girl is sitting on a man's lap whilst she airdrums and the dad is helping her airdrum. "", ""A little girl is pretending to play the drums while sitting on her father's lap."", ""Daughter sitting on father's lap, the daughter is laughing as a result of her father making her do a funny action""]"
